sprint_idx	module	subpkgs	task_count	task_ids_first10	total_ids
1	core	document,test/document	75	3206,3207,3208,3209,3210,3211,3212,3213,3214,3215	75
2	core	util,test/util,store,test/store,geo,test/geo,internal/hppc,internal/tests,internal/vectorization,test/internal/vectorization	119	3424,3425,3426,3427,3428,3429,3430,3431,3432,3433	119
3	core	codecs,test/codecs,index	99	3323,3324,3325,3326,3327,3328,3329,3330,3331,3332	99
4	core	test/index (chunk 1/2)	120	4136,4137,4138,4139,4140,4141,4142,4143,4144,4145	120
5	core	test/index (chunk 2/2)	7	4256,4257,4258,4259,4260,4261,4262	7
6	core	search	82	3241,3242,3243,3244,3245,3246,3247,3248,3249,3250	82
7	core	test/search,analysis,test/analysis,test/TestAssertions.java,test/TestDemo.java,test/TestExternalCodecs.java,test/TestMergeSchedulerExternal.java,test/TestSearch.java,test/TestSearchForDuplicates.java	109	4026,4027,4028,4029,4030,4031,4032,4033,4034,4035	109
8	backward-codecs	backward_codecs	56	3130,3131,3132,3133,3134,3135,3136,3137,3138,3139	56
9	backward-codecs	test/backward_codecs,test/backward_index	100	3873,3874,3875,3876,3877,3878,3879,3880,3881,3882	100
10	codecs	codecs,test/codecs	30	3186,3187,3188,3189,3190,3191,3192,3193,3194,3195	30
11	analysis/common	analysis (chunk 1/2)	120	2789,2790,2791,2792,2793,2794,2795,2796,2797,2798	120
12	analysis/common	analysis (chunk 2/2)	50	2909,2910,2911,2912,2913,2914,2915,2916,2917,2918	50
13	analysis/common	collation,misc,test/analysis	90	2785,2786,2787,2788,2759,2760,2761,2762,2763,2764	90
14	analysis/icu	analysis,test/analysis	25	2959,2960,2961,2962,2963,2964,2965,2966,2967,2968	25
15	analysis/kuromoji	analysis,test/analysis	56	2981,2982,2983,2984,2985,2986,2987,2988,2989,2990	56
16	analysis/nori	analysis,test/analysis	35	3033,3034,3035,3036,3037,3038,3039,3040,3041,3042	35
17	analysis/morfologik	analysis,test/analysis	7	3107,3108,3109,3110,3111,3112,3872	7
18	analysis/opennlp	analysis	17	3113,3114,3115,3116,3117,3118,3119,3120,3121,3122	17
19	analysis/phonetic	analysis	8	3067,3068,3069,3070,3071,3072,3073,3074	8
20	analysis/smartcn	analysis	18	3075,3076,3077,3078,3079,3080,3081,3082,3083,3084	18
21	analysis/stempel	analysis,misc,test/misc	15	3093,3094,3095,3096,3097,3098,3099,3100,3101,3102	15
22	queries	queries,test/queries	81	3574,3575,3576,3577,3578,3579,3580,3581,3582,3583	81
23	queryparser	queryparser,test/queryparser	58	3618,3619,3620,3621,3622,3623,3624,3625,3626,3627	58
24	suggest	search,test/search	14	3797,3798,3799,3800,3801,3802,4523,4524,4525,4526	14
25	facet	facet,test/facet	31	3501,3502,3503,3504,3505,3506,3507,3508,3509,3510	31
26	grouping	search,test/search	7	3516,3517,3518,4335,4336,4337,4338	7
27	highlighter	search,test/search	21	3519,3520,3521,3522,4339,4340,4341,4342,4343,4344	21
28	join	search,test/search	21	3523,3524,3525,3526,3527,3528,3529,3530,3531,3532	21
29	memory	test/index	2	4365,4366	2
30	misc	misc,test/misc	4	3535,4367,4368,4369	4
31	expressions	expressions,test/expressions	20	3490,3491,3492,3493,3494,3495,3496,3497,3498,3499	20
32	sandbox	sandbox,test/sandbox	38	3656,3657,3658,3659,3660,3661,3662,3663,3664,3665	38
33	monitor	monitor,test/monitor	66	3536,3537,3538,3539,3540,3541,3542,3543,3544,3545	66
34	classification	classification,test/classification	19	2740,2741,2742,2743,2744,2745,2746,2747,2748,2749	19
35	spatial-extras	spatial,test/spatial	39	3785,3786,3787,3788,3789,3790,3791,3792,3793,3794	39
36	spatial3d	spatial3d,test/spatial3d	112	3682,3683,3684,3685,3686,3687,3688,3689,3690,3691	112
37	replicator	replicator,test/replicator	20	3647,3648,3649,3650,3651,3652,3653,3654,3655,4464	20
